"HS 1992 Code","Product","PCI 1995","PCI 1996","PCI 1997","PCI 1998","PCI 1999","PCI 2000","PCI 2001","PCI 2002","PCI 2003","PCI 2004","PCI 2005","PCI 2006","PCI 2007","PCI 2008","PCI 2009","PCI 2010","PCI 2011","PCI 2012","PCI 2013","PCI 2014","PCI 2015","PCI 2016","PCI 2017","PCI 2018","PCI 2019","PCI 2020","PCI 2021"
"0101","Live horses, asses, mules or hinnies","0.040311303","-0.042549253","-0.0068538156","0.10732758","-0.03926722","0.17392918","0.029539704","0.1257332","0.2641715","0.24902448","-0.28224787","-0.02934424","-0.111035265","-0.07993027","-0.37310502","0.075410895","0.30061334","-0.46067587","0.123842984","-0.3352839","-0.2470023","-0.21470356","0.3282984","-0.15595187","0.451933","0.23236647","0.101912916"
"0102","Live bovine animals","-0.4371679","-0.88434666","-0.6261179","-0.47122774","-0.6471723","-0.64935666","-1.3028258","-1.1967055","-0.945637","-0.9098855","-0.83853287","-0.6804488","-0.64144176","-0.65643656","-0.5830109","-0.75500154","-0.8768461","-0.8610235","-0.848411","-0.923158","-0.8297333","-0.7933942","-0.743428","-0.47049683","-0.5739734","-0.8317543","-0.8062822"
"0103","Live swine","0.044383228","0.5887209","0.12190141","0.1679755","0.2730407","0.078347534","0.23086713","0.3562504","0.1992218","0.5024539","0.44998723","0.89627653","0.941617","1.1146181","0.9755654","0.5710237","0.78613967","0.7043477","0.7548499","0.78394836","0.68396","0.5071313","0.67770535","0.631189","0.66273344","0.48596877","0.53791696"
"0104","Live sheep and goats","-0.943006","-1.6335396","-0.95189196","-1.3265588","-1.2200899","-1.2307066","-1.2495344","-1.6374769","-1.6847057","-1.6316236","-1.7197049","-1.4499946","-1.4898955","-1.69704","-1.4445007","-1.4242986","-1.6891605","-1.7327433","-1.7945626","-1.8124527","-1.8592981","-1.6218681","-1.6310527","-1.5639695","-1.5182348","-1.3816838","-1.681839"
"0105","Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas","-0.11258371","0.006852969","0.15001188","0.13002153","0.060686972","-0.0019992471","-0.47647375","-0.30391914","-0.45301476","-0.57381636","-0.29302138","0.12533629","-0.040723275","0.19062209","0.17275763","0.027994875","-0.077678256","0.11597662","0.052295856","-0.010517972","-0.036177672","0.078847095","-0.12632944","-0.012556304","-0.0018320972","-0.50342685","-0.20142478"
"0106","Other live animals","-1.8386447","-1.8865368","-1.6522238","-1.7329874","-1.8008331","-1.6651437","-1.9423717","-1.7889516","-1.6469759","-1.7564865","-1.7960155","-1.736412","-1.6011537","-1.4958303","-1.5897533","-1.5657011","-1.7629699","-1.7160215","-1.4228224","-1.4368104","-1.4643718","-1.3532444","-1.2709041","-1.463528","-1.3819518","-0.9690613","-1.2488012"
"0201","Meat of bovine animals, fresh or chilled","-0.21498123","-0.28494835","-0.256352","-0.2983854","-0.040970787","-0.4013393","-0.1506275","-0.009320451","-0.18516143","-0.014849218","-0.3127616","-0.274948","-0.44544676","-0.14428319","-0.11816509","-0.08245445","-0.2429271","-0.1806104","-0.27852806","-0.38904524","-0.15911092","-0.41581854","-0.5604486","-0.6748378","-0.48336968","-0.6639435","-0.562586"
"0202","Meat of bovine animals, frozen","-0.9084972","-1.2702596","-1.0168715","-0.8721758","-0.9072817","-0.79687357","-1.0123961","-0.9932882","-0.6344048","-1.0781512","-1.3073092","-1.34895","-0.91712457","-1.1761569","-0.79058945","-0.8058135","-1.5539614","-0.9951317","-1.0319177","-1.1159542","-0.9111368","-1.0526589","-1.2269505","-1.2328465","-0.83152366","-1.3464024","-1.1868613"
"0203","Meat of swine, fresh, chilled or frozen","0.9421886","0.7656086","0.4948005","0.3881279","0.7296866","0.75368804","0.6242019","0.80652064","0.8829366","0.7424216","1.0717841","0.8257689","1.1623353","1.1494073","0.9822428","1.069852","1.0485555","0.96752775","0.9846003","0.60231906","0.8917058","0.9002977","0.9686001","0.91164386","0.8666737","0.7720574","0.7245528"
"0204","Meat of sheep or goats, fresh, chilled or frozen","-0.6446488","-0.9494967","-0.5942436","-1.0456501","-0.905573","-1.0206698","-0.9723273","-0.99127424","-0.7515735","-0.784321","-1.0595869","-1.1534916","-1.1395451","-1.0148063","-1.3032433","-1.6580504","-1.6650723","-1.6034201","-1.4141908","-1.6855688","-1.0104144","-1.3991915","-1.6165602","-1.7196207","-1.6200368","-1.8745884","-1.5683472"
